Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
obter informação consultar,informação,cancelar contato por o portal,Cancelamento,obter informação consultar,b-atendimento b-doc,neutro,cancelamento
horário agendar,emergência,encontrar informação emergência site,Cancelamento,horário agendar,b-tempo b-doc,confuso,cancelamento
encontrar informação obter informação,cancelamento,cancelamento disponível em o unidade,Contato,encontrar informação obter informação,b-doc b-atendimento b-tempo b-tempo,confuso,contato
documento necessário consultar,encaminhamento,contato por o xx xxxx-xxxx,Cancelamento,documento necessário consultar,b-atendimento b-serviço b-atendimento,confuso,cancelamento
telefone solicitar,cancelamento,encontrar informação cancelamento site,Informações,telefone solicitar,b-tempo b-tempo,frustrar,informação
verificar atendimento,informação,encontrar informação informação site,Informações,verificar atendimento,b-tempo b-doc b-atendimento,neutro,informação
encontrar informação cadastrar,contato,cancelar contato por o portal,Documentação,encontrar informação cadastrar,b-doc b-serviço b-serviço,frustrar,documentação
obter informação cadastrar,informação,informação disponível em o unidade,Informações,obter informação cadastrar,b-atendimento b-serviço,confuso,informação
cancelar atendimento,informação,horário informação 8h a o 18h,Informações,cancelar atendimento,b-atendimento b-atendimento,neutro,informação
agendar atendimento,serviço x,cancelar contato por o portal,Encaminhamento,agendar atendimento,b-atendimento b-doc b-tempo,confuso,encaminhamento
haver agendar presencial,serviço x,serviço x disponível em o unidade,Emergência,haver agendar presencial,b-atendimento,frustrar,emergência
caso emergência,encaminhamento,cancelar contato por o portal,Informações,caso emergência,b-tempo b-atendimento b-tempo,frustrar,informação
caso emergência,cancelamento,cancelar contato por o portal,Informações,caso emergência,b-doc b-atendimento b-atendimento,urgente,informação
cancelar atendimento,contato,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-doc b-doc,neutro,informação
cancelar atendimento,agendamento,atendimento presencial,Encaminhamento,cancelar atendimento,b-atendimento b-atendimento,neutro,encaminhamento
haver consultar presencial,agendamento,agendamento levar documento b.,Informações,haver consultar presencial,b-serviço,neutro,informação
cadastrar atendimento,informação,caso emergência dirijar se a o atendimento presencial,Documentação,cadastrar atendimento,b-atendimento b-atendimento b-serviço,urgente,documentação
preciso ajuda solicitar,emergência,horário emergência 8h a o 18h,Encaminhamento,preciso ajudar solicitar,b-atendimento b-doc,frustrar,encaminhamento
telefone cadastrar,encaminhamento,encaminhamento disponível em o unidade,Informações,telefone cadastrar,b-doc b-tempo,neutro,informação
encontrar informação consultar,cancelamento,encontrar informação cancelamento site,Encaminhamento,encontrar informação consultar,b-serviço b-serviço b-atendimento,confuso,encaminhamento
caso emergência,cancelamento,cancelamento acer portal serviço,Contato,caso emergência,b-serviço b-tempo b-doc,neutro,contato
verificar atendimento,serviço y,serviço y levar documento b.,Informações,verificar atendimento,b-tempo b-tempo b-tempo,confuso,informação
cadastrar atendimento,serviço y,encontrar informação serviço y site,Encaminhamento,cadastrar atendimento,b-atendimento b-doc b-tempo,neutro,encaminhamento
telefone agendar,agendamento,encontrar informação agendamento site,Emergência,telefone agendar,b-doc b-atendimento,neutro,emergência
obter informação consultar,serviço y,atendimento presencial,Encaminhamento,obter informação consultar,b-tempo b-atendimento,neutro,encaminhamento
haver verificar presencial,serviço y,cancelar contato por o portal,Documentação,haver verificar presencial,b-atendimento,neutro,documentação
haver verificar presencial,serviço y,horário serviço y 8h a o 18h,Informações,haver verificar presencial,b-serviço,neutro,informação
cadastrar atendimento,agendamento,agendamento acer portal serviço,Emergência,cadastrar atendimento,b-tempo b-atendimento b-atendimento,confuso,emergência
documento necessário solicitar,cancelamento,precisar ajuda atendente a o disposição,Contato,documento necessário solicitar,b-tempo b-serviço b-atendimento,confuso,contato
preciso ajuda solicitar,serviço x,atendimento presencial,Encaminhamento,preciso ajudar solicitar,b-tempo b-serviço,urgente,encaminhamento
preciso ajuda obter informação,emergência,emergência disponível em o unidade,Informações,preciso ajudar obter informação,b-atendimento b-tempo b-serviço,frustrar,informação
haver cadastrar presencial,serviço y,precisar ajuda atendente a o disposição,Cancelamento,haver cadastrar presencial,b-tempo,frustrar,cancelamento
cancelar atendimento,serviço y,precisar ajuda atendente a o disposição,Informações,cancelar atendimento,b-atendimento b-atendimento,confuso,informação
haver verificar presencial,serviço x,encontrar informação serviço x site,Documentação,haver verificar presencial,b-tempo,neutro,documentação
horário solicitar,cancelamento,cancelamento disponível em o unidade,Informações,horário solicitar,b-tempo b-serviço,neutro,informação
cadastrar atendimento,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,cadastrar atendimento,b-tempo b-serviço b-serviço,frustrar,encaminhamento
agendar atendimento,emergência,precisar ajuda atendente a o disposição,Encaminhamento,agendar atendimento,b-atendimento b-serviço b-serviço,neutro,encaminhamento
obter informação verificar,emergência,caso emergência dirijar se a o atendimento presencial,Contato,obter informação verificar,b-atendimento b-serviço,urgente,contato
preciso ajuda verificar,cancelamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,preciso ajudar verificar,b-tempo b-atendimento,confuso,encaminhamento
consultar atendimento,contato,encontrar informação contato site,Emergência,consultar atendimento,b-tempo b-doc b-serviço,confuso,emergência
horário agendar,serviço y,precisar ajuda atendente a o disposição,Contato,horário agendar,b-atendimento b-atendimento,frustrar,contato
caso emergência,contato,contato levar documento b.,Informações,caso emergência,b-doc b-doc b-atendimento,confuso,informação
encontrar informação consultar,serviço x,precisar ajuda atendente a o disposição,Informações,encontrar informação consultar,b-atendimento b-tempo b-atendimento,urgente,informação
cancelar atendimento,informação,atendimento presencial,Contato,cancelar atendimento,b-atendimento b-atendimento,confuso,contato
horário verificar,emergência,emergência levar documento b.,Documentação,horário verificar,b-tempo b-atendimento,urgente,documentação
cadastrar atendimento,cancelamento,precisar ajuda atendente a o disposição,Encaminhamento,cadastrar atendimento,b-serviço b-serviço b-atendimento,frustrar,encaminhamento
horário consultar,serviço x,precisar ajuda atendente a o disposição,Informações,horário consultar,b-doc b-doc,neutro,informação
encontrar informação obter informação,cancelamento,cancelar contato por o portal,Emergência,encontrar informação obter informação,b-atendimento b-atendimento b-tempo b-tempo,neutro,emergência
horário agendar,agendamento,agendamento acer portal serviço,Informações,horário agendar,b-atendimento b-tempo,frustrar,informação
caso emergência,serviço x,cancelar contato por o portal,Cancelamento,caso emergência,b-serviço b-atendimento b-atendimento,confuso,cancelamento
telefone verificar,serviço x,precisar ajuda atendente a o disposição,Documentação,telefone verificar,b-tempo b-doc,urgente,documentação
preciso ajuda agendar,serviço y,atendimento presencial,Emergência,preciso ajudar agendar,b-doc b-doc,neutro,emergência
caso emergência,serviço x,horário serviço x 8h a o 18h,Informações,caso emergência,b-serviço b-serviço b-atendimento,neutro,informação
preciso ajuda solicitar,serviço x,encontrar informação serviço x site,Emergência,preciso ajudar solicitar,b-serviço b-doc,confuso,emergência
agendar atendimento,encaminhamento,precisar ajuda atendente a o disposição,Emergência,agendar atendimento,b-atendimento b-tempo b-serviço,neutro,emergência
documento necessário agendar,serviço y,serviço y disponível em o unidade,Informações,documento necessário agendar,b-atendimento b-serviço b-tempo,neutro,informação
obter informação verificar,encaminhamento,contato por o xx xxxx-xxxx,Emergência,obter informação verificar,b-tempo b-doc,neutro,emergência
preciso ajuda solicitar,serviço y,cancelar contato por o portal,Contato,preciso ajudar solicitar,b-serviço b-doc,urgente,contato
cancelar atendimento,contato,contato levar documento b.,Informações,cancelar atendimento,b-tempo b-tempo,neutro,informação
preciso ajuda consultar,emergência,caso emergência dirijar se a o atendimento presencial,Cancelamento,preciso ajudar consultar,b-serviço b-atendimento,confuso,cancelamento
horário verificar,serviço y,caso emergência dirijar se a o atendimento presencial,Cancelamento,horário verificar,b-doc b-serviço,urgente,cancelamento
caso emergência,emergência,contato por o xx xxxx-xxxx,Informações,caso emergência,b-tempo b-doc b-atendimento,urgente,informação
telefone verificar,cancelamento,cancelamento acer portal serviço,Documentação,telefone verificar,b-serviço b-tempo,neutro,documentação
cancelar atendimento,serviço x,cancelar contato por o portal,Emergência,cancelar atendimento,b-serviço b-doc,neutro,emergência
horário agendar,cancelamento,contato por o xx xxxx-xxxx,Documentação,horário agendar,b-atendimento b-atendimento,frustrar,documentação
encontrar informação verificar,emergência,emergência disponível em o unidade,Encaminhamento,encontrar informação verificar,b-atendimento b-serviço b-serviço,confuso,encaminhamento
caso emergência,encaminhamento,caso emergência dirijar se a o atendimento presencial,Informações,caso emergência,b-tempo b-atendimento b-doc,neutro,informação
documento necessário cadastrar,serviço x,serviço x levar documento b.,Informações,documento necessário cadastrar,b-doc b-serviço b-serviço,frustrar,informação
consultar atendimento,emergência,precisar ajuda atendente a o disposição,Documentação,consultar atendimento,b-tempo b-atendimento b-serviço,confuso,documentação
obter informação obter informação,serviço y,encontrar informação serviço y site,Informações,obter informação obter informação,b-doc b-doc b-tempo,confuso,informação
cancelar atendimento,encaminhamento,encaminhamento levar documento b.,Documentação,cancelar atendimento,b-serviço b-tempo,frustrar,documentação
documento necessário consultar,agendamento,horário agendamento 8h a o 18h,Emergência,documento necessário consultar,b-atendimento b-doc b-tempo,neutro,emergência
agendar atendimento,serviço y,encontrar informação serviço y site,Cancelamento,agendar atendimento,b-tempo b-doc b-serviço,frustrar,cancelamento
horário obter informação,cancelamento,cancelamento acer portal serviço,Contato,horário obter informação,b-serviço b-tempo b-serviço,frustrar,contato
telefone consultar,agendamento,encontrar informação agendamento site,Informações,telefone consultar,b-tempo b-doc,confuso,informação
encontrar informação solicitar,serviço x,cancelar contato por o portal,Encaminhamento,encontrar informação solicitar,b-serviço b-serviço b-tempo,confuso,encaminhamento
horário obter informação,agendamento,contato por o xx xxxx-xxxx,Cancelamento,horário obter informação,b-atendimento b-tempo b-atendimento,urgente,cancelamento
horário agendar,serviço y,serviço y levar documento b.,Informações,horário agendar,b-doc b-doc,confuso,informação
cadastrar atendimento,agendamento,horário agendamento 8h a o 18h,Cancelamento,cadastrar atendimento,b-doc b-doc b-serviço,confuso,cancelamento
cadastrar atendimento,serviço x,cancelar contato por o portal,Informações,cadastrar atendimento,b-atendimento b-tempo b-tempo,confuso,informação
documento necessário obter informação,informação,horário informação 8h a o 18h,Informações,documento necessário obter informação,b-serviço b-atendimento b-doc b-atendimento,urgente,informação
horário obter informação,serviço x,encontrar informação serviço x site,Contato,horário obter informação,b-atendimento b-tempo b-doc,urgente,contato
cancelar atendimento,cancelamento,cancelamento acer portal serviço,Informações,cancelar atendimento,b-atendimento b-atendimento,neutro,informação
telefone verificar,serviço y,horário serviço y 8h a o 18h,Contato,telefone verificar,b-tempo b-atendimento,neutro,contato
obter informação obter informação,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,obter informação obter informação,b-doc b-serviço b-atendimento,urgente,encaminhamento
horário solicitar,serviço y,serviço y acer portal serviço,Encaminhamento,horário solicitar,b-serviço b-tempo,neutro,encaminhamento
haver agendar presencial,informação,caso emergência dirijar se a o atendimento presencial,Informações,haver agendar presencial,b-atendimento,neutro,informação
preciso ajuda cadastrar,emergência,precisar ajuda atendente a o disposição,Documentação,preciso ajudar cadastrar,b-atendimento b-tempo,frustrar,documentação
encontrar informação obter informação,cancelamento,contato por o xx xxxx-xxxx,Encaminhamento,encontrar informação obter informação,b-serviço b-doc b-serviço b-serviço,frustrar,encaminhamento
obter informação verificar,emergência,emergência levar documento b.,Encaminhamento,obter informação verificar,b-doc b-tempo,neutro,encaminhamento
telefone agendar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Informações,telefone agendar,b-tempo b-serviço,urgente,informação
horário agendar,contato,encontrar informação contato site,Documentação,horário agendar,b-atendimento b-tempo,urgente,documentação
haver cadastrar presencial,emergência,cancelar contato por o portal,Contato,haver cadastrar presencial,b-tempo,frustrar,contato
documento necessário cadastrar,informação,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário cadastrar,b-doc b-atendimento b-doc,neutro,encaminhamento
horário cadastrar,agendamento,agendamento acer portal serviço,Cancelamento,horário cadastrar,b-atendimento b-serviço,urgente,cancelamento
preciso ajuda consultar,serviço x,encontrar informação serviço x site,Contato,preciso ajudar consultar,b-doc b-tempo,neutro,contato
cancelar atendimento,emergência,cancelar contato por o portal,Informações,cancelar atendimento,b-atendimento b-serviço,frustrar,informação
caso emergência,encaminhamento,encaminhamento acer portal serviço,Encaminhamento,caso emergência,b-atendimento b-atendimento b-atendimento,frustrar,encaminhamento
encontrar informação verificar,informação,cancelar contato por o portal,Emergência,encontrar informação verificar,b-atendimento b-doc b-tempo,neutro,emergência
caso emergência,agendamento,contato por o xx xxxx-xxxx,Cancelamento,caso emergência,b-atendimento b-doc b-atendimento,neutro,cancelamento
documento necessário solicitar,serviço y,cancelar contato por o portal,Emergência,documento necessário solicitar,b-tempo b-atendimento b-doc,frustrar,emergência
documento necessário solicitar,agendamento,agendamento levar documento b.,Encaminhamento,documento necessário solicitar,b-doc b-tempo b-doc,urgente,encaminhamento
caso emergência,emergência,emergência disponível em o unidade,Cancelamento,caso emergência,b-atendimento b-serviço b-serviço,neutro,cancelamento
haver solicitar presencial,contato,contato levar documento b.,Informações,haver solicitar presencial,b-serviço,neutro,informação
documento necessário verificar,serviço x,serviço x disponível em o unidade,Emergência,documento necessário verificar,b-serviço b-serviço b-tempo,confuso,emergência
telefone agendar,cancelamento,cancelamento disponível em o unidade,Encaminhamento,telefone agendar,b-serviço b-serviço,confuso,encaminhamento
documento necessário consultar,emergência,horário emergência 8h a o 18h,Informações,documento necessário consultar,b-atendimento b-atendimento b-doc,frustrar,informação
cancelar atendimento,emergência,precisar ajuda atendente a o disposição,Contato,cancelar atendimento,b-serviço b-doc,frustrar,contato
caso emergência,serviço y,atendimento presencial,Informações,caso emergência,b-doc b-serviço b-atendimento,urgente,informação
telefone obter informação,agendamento,caso emergência dirijar se a o atendimento presencial,Informações,telefone obter informação,b-tempo b-tempo b-doc,urgente,informação
preciso ajuda solicitar,serviço x,serviço x acer portal serviço,Encaminhamento,preciso ajudar solicitar,b-tempo b-tempo,neutro,encaminhamento
haver solicitar presencial,serviço x,contato por o xx xxxx-xxxx,Informações,haver solicitar presencial,b-serviço,frustrar,informação
horário consultar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Documentação,horário consultar,b-atendimento b-atendimento,confuso,documentação
telefone consultar,serviço x,encontrar informação serviço x site,Informações,telefone consultar,b-tempo b-serviço,neutro,informação
haver verificar presencial,encaminhamento,encontrar informação encaminhamento site,Informações,haver verificar presencial,b-tempo,neutro,informação
cancelar atendimento,encaminhamento,cancelar contato por o portal,Informações,cancelar atendimento,b-tempo b-doc,confuso,informação
encontrar informação cadastrar,cancelamento,horário cancelamento 8h a o 18h,Encaminhamento,encontrar informação cadastrar,b-doc b-atendimento b-doc,neutro,encaminhamento
caso emergência,informação,precisar ajuda atendente a o disposição,Documentação,caso emergência,b-tempo b-doc b-serviço,frustrar,documentação
preciso ajuda obter informação,serviço y,serviço y acer portal serviço,Cancelamento,preciso ajudar obter informação,b-serviço b-tempo b-serviço,neutro,cancelamento
encontrar informação verificar,informação,informação acer portal serviço,Contato,encontrar informação verificar,b-atendimento b-serviço b-doc,urgente,contato
documento necessário obter informação,serviço y,precisar ajuda atendente a o disposição,Cancelamento,documento necessário obter informação,b-serviço b-atendimento b-serviço b-atendimento,confuso,cancelamento
cancelar atendimento,encaminhamento,atendimento presencial,Encaminhamento,cancelar atendimento,b-atendimento b-tempo,neutro,encaminhamento
obter informação verificar,cancelamento,cancelamento disponível em o unidade,Encaminhamento,obter informação verificar,b-atendimento b-atendimento,neutro,encaminhamento
haver verificar presencial,emergência,emergência disponível em o unidade,Encaminhamento,haver verificar presencial,b-doc,confuso,encaminhamento
preciso ajuda verificar,cancelamento,contato por o xx xxxx-xxxx,Encaminhamento,preciso ajudar verificar,b-serviço b-serviço,confuso,encaminhamento
encontrar informação verificar,contato,contato por o xx xxxx-xxxx,Emergência,encontrar informação verificar,b-doc b-serviço b-doc,urgente,emergência
verificar atendimento,contato,encontrar informação contato site,Emergência,verificar atendimento,b-atendimento b-atendimento b-serviço,urgente,emergência
haver solicitar presencial,cancelamento,cancelamento levar documento b.,Emergência,haver solicitar presencial,b-doc,frustrar,emergência
obter informação agendar,cancelamento,cancelamento acer portal serviço,Documentação,obter informação agendar,b-serviço b-atendimento,neutro,documentação
preciso ajuda cadastrar,cancelamento,atendimento presencial,Informações,preciso ajudar cadastrar,b-doc b-doc,neutro,informação
caso emergência,emergência,emergência disponível em o unidade,Informações,caso emergência,b-serviço b-atendimento b-doc,frustrar,informação
horário verificar,serviço x,serviço x acer portal serviço,Informações,horário verificar,b-atendimento b-doc,confuso,informação
caso emergência,informação,horário informação 8h a o 18h,Cancelamento,caso emergência,b-serviço b-tempo b-doc,urgente,cancelamento
cancelar atendimento,serviço x,serviço x acer portal serviço,Informações,cancelar atendimento,b-tempo b-atendimento,urgente,informação
telefone consultar,contato,caso emergência dirijar se a o atendimento presencial,Informações,telefone consultar,b-doc b-doc,confuso,informação
solicitar atendimento,serviço y,encontrar informação serviço y site,Informações,solicitar atendimento,b-serviço b-atendimento b-atendimento,urgente,informação
encontrar informação solicitar,informação,informação levar documento b.,Informações,encontrar informação solicitar,b-atendimento b-tempo b-atendimento,frustrar,informação
haver verificar presencial,serviço y,precisar ajuda atendente a o disposição,Cancelamento,haver verificar presencial,b-tempo,neutro,cancelamento
verificar atendimento,emergência,contato por o xx xxxx-xxxx,Encaminhamento,verificar atendimento,b-serviço b-doc b-serviço,urgente,encaminhamento
encontrar informação agendar,informação,horário informação 8h a o 18h,Emergência,encontrar informação agendar,b-doc b-tempo b-tempo,neutro,emergência
documento necessário consultar,cancelamento,cancelamento disponível em o unidade,Cancelamento,documento necessário consultar,b-serviço b-doc b-atendimento,neutro,cancelamento
preciso ajuda cadastrar,cancelamento,cancelamento levar documento b.,Documentação,preciso ajudar cadastrar,b-atendimento b-tempo,neutro,documentação
obter informação verificar,emergência,caso emergência dirijar se a o atendimento presencial,Encaminhamento,obter informação verificar,b-atendimento b-serviço,confuso,encaminhamento
preciso ajuda cadastrar,informação,informação acer portal serviço,Informações,preciso ajudar cadastrar,b-atendimento b-doc,confuso,informação
documento necessário verificar,serviço x,contato por o xx xxxx-xxxx,Informações,documento necessário verificar,b-doc b-tempo b-serviço,neutro,informação
documento necessário agendar,serviço x,atendimento presencial,Emergência,documento necessário agendar,b-doc b-doc b-tempo,neutro,emergência
caso emergência,encaminhamento,atendimento presencial,Informações,caso emergência,b-serviço b-doc b-doc,confuso,informação
cancelar atendimento,emergência,contato por o xx xxxx-xxxx,Contato,cancelar atendimento,b-atendimento b-doc,confuso,contato
telefone obter informação,cancelamento,cancelamento acer portal serviço,Encaminhamento,telefone obter informação,b-doc b-tempo b-tempo,neutro,encaminhamento
encontrar informação solicitar,serviço x,atendimento presencial,Emergência,encontrar informação solicitar,b-serviço b-serviço b-atendimento,neutro,emergência
cancelar atendimento,serviço x,serviço x disponível em o unidade,Informações,cancelar atendimento,b-atendimento b-atendimento,urgente,informação
cancelar atendimento,agendamento,agendamento levar documento b.,Informações,cancelar atendimento,b-atendimento b-tempo,neutro,informação
cancelar atendimento,emergência,emergência levar documento b.,Encaminhamento,cancelar atendimento,b-tempo b-atendimento,frustrar,encaminhamento
cancelar atendimento,informação,contato por o xx xxxx-xxxx,Emergência,cancelar atendimento,b-tempo b-serviço,neutro,emergência
haver solicitar presencial,serviço x,serviço x acer portal serviço,Informações,haver solicitar presencial,b-tempo,neutro,informação
horário solicitar,cancelamento,cancelamento disponível em o unidade,Documentação,horário solicitar,b-doc b-atendimento,neutro,documentação
documento necessário verificar,emergência,caso emergência dirijar se a o atendimento presencial,Encaminhamento,documento necessário verificar,b-atendimento b-serviço b-tempo,neutro,encaminhamento
telefone solicitar,contato,contato acer portal serviço,Contato,telefone solicitar,b-tempo b-tempo,urgente,contato
cancelar atendimento,agendamento,agendamento levar documento b.,Documentação,cancelar atendimento,b-serviço b-serviço,urgente,documentação
telefone agendar,contato,caso emergência dirijar se a o atendimento presencial,Contato,telefone agendar,b-doc b-tempo,neutro,contato
solicitar atendimento,encaminhamento,precisar ajuda atendente a o disposição,Encaminhamento,solicitar atendimento,b-serviço b-atendimento b-atendimento,urgente,encaminhamento
caso emergência,agendamento,horário agendamento 8h a o 18h,Cancelamento,caso emergência,b-tempo b-tempo b-doc,confuso,cancelamento
telefone consultar,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,telefone consultar,b-doc b-atendimento,neutro,encaminhamento
encontrar informação verificar,agendamento,agendamento levar documento b.,Informações,encontrar informação verificar,b-tempo b-serviço b-serviço,neutro,informação
cancelar atendimento,serviço y,serviço y disponível em o unidade,Emergência,cancelar atendimento,b-tempo b-serviço,neutro,emergência
caso emergência,encaminhamento,caso emergência dirijar se a o atendimento presencial,Emergência,caso emergência,b-atendimento b-doc b-doc,neutro,emergência
horário cadastrar,informação,contato por o xx xxxx-xxxx,Documentação,horário cadastrar,b-serviço b-serviço,neutro,documentação
documento necessário solicitar,contato,caso emergência dirijar se a o atendimento presencial,Informações,documento necessário solicitar,b-doc b-doc b-doc,neutro,informação
cancelar atendimento,serviço y,serviço y acer portal serviço,Emergência,cancelar atendimento,b-tempo b-tempo,neutro,emergência
cancelar atendimento,serviço x,serviço x disponível em o unidade,Contato,cancelar atendimento,b-tempo b-tempo,neutro,contato
cancelar atendimento,cancelamento,cancelamento levar documento b.,Documentação,cancelar atendimento,b-doc b-serviço,confuso,documentação
haver obter informação presencial,encaminhamento,contato por o xx xxxx-xxxx,Documentação,haver obter informação presencial,b-tempo b-doc,confuso,documentação
preciso ajuda consultar,serviço y,horário serviço y 8h a o 18h,Informações,preciso ajudar consultar,b-atendimento b-atendimento,frustrar,informação
encontrar informação obter informação,contato,encontrar informação contato site,Informações,encontrar informação obter informação,b-tempo b-tempo b-doc b-serviço,neutro,informação
agendar atendimento,cancelamento,horário cancelamento 8h a o 18h,Cancelamento,agendar atendimento,b-atendimento b-atendimento b-serviço,neutro,cancelamento
cancelar atendimento,agendamento,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-atendimento b-tempo,frustrar,informação
documento necessário obter informação,serviço x,serviço x acer portal serviço,Informações,documento necessário obter informação,b-serviço b-tempo b-tempo b-serviço,urgente,informação
haver cadastrar presencial,cancelamento,horário cancelamento 8h a o 18h,Documentação,haver cadastrar presencial,b-doc,confuso,documentação
cadastrar atendimento,contato,contato acer portal serviço,Informações,cadastrar atendimento,b-tempo b-serviço b-serviço,neutro,informação
preciso ajuda verificar,encaminhamento,precisar ajuda atendente a o disposição,Encaminhamento,preciso ajudar verificar,b-atendimento b-serviço,confuso,encaminhamento
encontrar informação verificar,agendamento,cancelar contato por o portal,Encaminhamento,encontrar informação verificar,b-serviço b-tempo b-doc,frustrar,encaminhamento
haver agendar presencial,cancelamento,encontrar informação cancelamento site,Emergência,haver agendar presencial,b-tempo,frustrar,emergência
encontrar informação agendar,encaminhamento,precisar ajuda atendente a o disposição,Cancelamento,encontrar informação agendar,b-atendimento b-serviço b-tempo,frustrar,cancelamento
documento necessário solicitar,contato,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário solicitar,b-tempo b-tempo b-doc,frustrar,encaminhamento
caso emergência,informação,informação disponível em o unidade,Encaminhamento,caso emergência,b-serviço b-doc b-serviço,urgente,encaminhamento
telefone agendar,contato,contato por o xx xxxx-xxxx,Contato,telefone agendar,b-tempo b-atendimento,neutro,contato
telefone verificar,serviço y,precisar ajuda atendente a o disposição,Emergência,telefone verificar,b-serviço b-tempo,neutro,emergência
consultar atendimento,serviço x,serviço x levar documento b.,Encaminhamento,consultar atendimento,b-tempo b-serviço b-serviço,confuso,encaminhamento
preciso ajuda agendar,serviço y,cancelar contato por o portal,Contato,preciso ajudar agendar,b-doc b-atendimento,frustrar,contato
obter informação verificar,agendamento,agendamento disponível em o unidade,Documentação,obter informação verificar,b-serviço b-doc,urgente,documentação
horário solicitar,emergência,cancelar contato por o portal,Encaminhamento,horário solicitar,b-doc b-atendimento,neutro,encaminhamento
obter informação solicitar,encaminhamento,precisar ajuda atendente a o disposição,Encaminhamento,obter informação solicitar,b-atendimento b-atendimento,confuso,encaminhamento
preciso ajuda agendar,serviço x,encontrar informação serviço x site,Encaminhamento,preciso ajudar agendar,b-tempo b-doc,urgente,encaminhamento
cancelar atendimento,serviço x,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-atendimento b-tempo,urgente,encaminhamento
documento necessário consultar,agendamento,horário agendamento 8h a o 18h,Documentação,documento necessário consultar,b-atendimento b-serviço b-serviço,frustrar,documentação
cancelar atendimento,agendamento,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-tempo b-tempo,urgente,encaminhamento
obter informação obter informação,emergência,contato por o xx xxxx-xxxx,Encaminhamento,obter informação obter informação,b-atendimento b-atendimento b-atendimento,frustrar,encaminhamento
telefone verificar,informação,precisar ajuda atendente a o disposição,Informações,telefone verificar,b-serviço b-tempo,neutro,informação
encontrar informação cadastrar,cancelamento,cancelamento acer portal serviço,Informações,encontrar informação cadastrar,b-atendimento b-serviço b-atendimento,confuso,informação
obter informação solicitar,contato,encontrar informação contato site,Encaminhamento,obter informação solicitar,b-tempo b-serviço,confuso,encaminhamento
haver solicitar presencial,agendamento,horário agendamento 8h a o 18h,Cancelamento,haver solicitar presencial,b-doc,neutro,cancelamento
preciso ajuda obter informação,cancelamento,cancelamento disponível em o unidade,Cancelamento,preciso ajudar obter informação,b-serviço b-doc b-tempo,confuso,cancelamento
haver agendar presencial,informação,cancelar contato por o portal,Cancelamento,haver agendar presencial,b-serviço,neutro,cancelamento
cancelar atendimento,informação,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-tempo b-serviço,urgente,encaminhamento
encontrar informação solicitar,serviço y,caso emergência dirijar se a o atendimento presencial,Encaminhamento,encontrar informação solicitar,b-atendimento b-doc b-tempo,neutro,encaminhamento
haver consultar presencial,agendamento,atendimento presencial,Documentação,haver consultar presencial,b-doc,neutro,documentação
cancelar atendimento,emergência,precisar ajuda atendente a o disposição,Cancelamento,cancelar atendimento,b-atendimento b-doc,urgente,cancelamento
preciso ajuda obter informação,encaminhamento,encaminhamento levar documento b.,Informações,preciso ajudar obter informação,b-tempo b-atendimento b-tempo,confuso,informação
encontrar informação obter informação,cancelamento,cancelamento acer portal serviço,Informações,encontrar informação obter informação,b-atendimento b-doc b-doc b-doc,confuso,informação
caso emergência,emergência,emergência levar documento b.,Encaminhamento,caso emergência,b-doc b-tempo b-atendimento,confuso,encaminhamento
caso emergência,agendamento,atendimento presencial,Encaminhamento,caso emergência,b-doc b-atendimento b-atendimento,frustrar,encaminhamento
cancelar atendimento,serviço y,serviço y acer portal serviço,Informações,cancelar atendimento,b-serviço b-atendimento,urgente,informação
consultar atendimento,informação,encontrar informação informação site,Encaminhamento,consultar atendimento,b-tempo b-doc b-tempo,neutro,encaminhamento
cadastrar atendimento,cancelamento,encontrar informação cancelamento site,Informações,cadastrar atendimento,b-doc b-atendimento b-doc,frustrar,informação
horário solicitar,serviço x,serviço x levar documento b.,Contato,horário solicitar,b-tempo b-atendimento,frustrar,contato
encontrar informação verificar,cancelamento,cancelamento disponível em o unidade,Informações,encontrar informação verificar,b-doc b-tempo b-atendimento,confuso,informação
obter informação verificar,serviço y,atendimento presencial,Informações,obter informação verificar,b-tempo b-serviço,frustrar,informação
verificar atendimento,informação,informação acer portal serviço,Emergência,verificar atendimento,b-atendimento b-doc b-doc,neutro,emergência
obter informação cadastrar,encaminhamento,horário encaminhamento 8h a o 18h,Cancelamento,obter informação cadastrar,b-doc b-atendimento,frustrar,cancelamento
horário agendar,contato,horário contato 8h a o 18h,Encaminhamento,horário agendar,b-tempo b-serviço,neutro,encaminhamento
